CVE-ID,CVSS-V3,CVSS-V2,SEVERITY,CWE-ID,Year
CVE-2015-0001,,1.9,LOW,CWE-264,2015
CVE-2015-0002,,7.2,HIGH,CWE-264,2015
CVE-2015-0003,,6.9,MEDIUM,CWE-476,2015
CVE-2015-0004,,7.2,HIGH,CWE-264,2015
CVE-2015-0005,,4.3,MEDIUM,CWE-254,2015
CVE-2015-0006,,6.1,MEDIUM,CWE-264,2015
CVE-2015-0008,,8.3,HIGH,CWE-284,2015
CVE-2015-0009,,3.3,LOW,CWE-254,2015
CVE-2015-0010,,1.9,LOW,CWE-310,2015
CVE-2015-0011,,4.7,MEDIUM,CWE-264,2015
CVE-2015-0012,,6.9,MEDIUM,CWE-264,2015
CVE-2015-0014,,10.0,HIGH,CWE-119,2015
CVE-2015-0015,,7.8,HIGH,CWE-399,2015
CVE-2015-0016,7.8,9.3,HIGH,CWE-22,2015
CVE-2015-0017,,9.3,HIGH,CWE-399,2015
CVE-2015-0018,,9.3,HIGH,CWE-399,2015
CVE-2015-0019,,9.3,HIGH,CWE-399,2015
CVE-2015-0020,,9.3,HIGH,CWE-399,2015
CVE-2015-0021,,9.3,HIGH,CWE-399,2015
CVE-2015-0022,,9.3,HIGH,CWE-399,2015
CVE-2015-0023,,9.3,HIGH,CWE-399,2015
CVE-2015-0025,,9.3,HIGH,CWE-399,2015
CVE-2015-0026,,9.3,HIGH,CWE-399,2015
CVE-2015-0027,,9.3,HIGH,CWE-399,2015
CVE-2015-0028,,9.3,HIGH,CWE-399,2015
CVE-2015-0029,,9.3,HIGH,CWE-399,2015
CVE-2015-0030,,9.3,HIGH,CWE-399,2015
CVE-2015-0031,,9.3,HIGH,CWE-399,2015
CVE-2015-0032,,9.3,HIGH,CWE-399,2015
CVE-2015-0035,,9.3,HIGH,CWE-399,2015
CVE-2015-0036,,9.3,HIGH,CWE-399,2015
CVE-2015-0037,,9.3,HIGH,CWE-399,2015
CVE-2015-0038,,9.3,HIGH,CWE-399,2015
CVE-2015-0039,,9.3,HIGH,CWE-399,2015
CVE-2015-0040,,9.3,HIGH,CWE-399,2015
CVE-2015-0041,,9.3,HIGH,CWE-399,2015
CVE-2015-0042,,9.3,HIGH,CWE-399,2015
CVE-2015-0043,,9.3,HIGH,CWE-399,2015
CVE-2015-0044,,9.3,HIGH,CWE-399,2015
CVE-2015-0045,,9.3,HIGH,CWE-399,2015
CVE-2015-0046,,9.3,HIGH,CWE-399,2015
CVE-2015-0048,,9.3,HIGH,CWE-399,2015
CVE-2015-0049,,9.3,HIGH,CWE-399,2015
CVE-2015-0050,,9.3,HIGH,CWE-399,2015
CVE-2015-0051,,4.3,MEDIUM,CWE-264,2015
CVE-2015-0052,,9.3,HIGH,CWE-399,2015
CVE-2015-0053,,9.3,HIGH,CWE-399,2015
CVE-2015-0054,,4.3,MEDIUM,CWE-264,2015
CVE-2015-0055,,4.3,MEDIUM,CWE-264,2015
CVE-2015-0056,,9.3,HIGH,CWE-399,2015
CVE-2015-0057,,7.2,HIGH,CWE-264,2015
CVE-2015-0058,,7.2,HIGH,CWE-415,2015
CVE-2015-0059,,6.9,MEDIUM,CWE-264,2015
CVE-2015-0060,,4.7,MEDIUM,CWE-19,2015
